Metric,K-means,Hierarchical
Silhouette Score,0.07867953852627671,0.09232819023314402
Davies-Bouldin Score,3.37396476767956,1.666186894550775
Calinski-Harabasz Score,2075.109109124927,1631.2320574073567
Cohesion (Lower is better),649235.3085175072,475195.0444494404
Separation (Higher is better),48289.69148249799,222329.95555056387
Accuracy,0.7816924124583349,0.6148525142468012
Precision,0.8449727254360563,0.6173482240322445
Recall,0.7680582761998042,0.9000979431929481
F1 Score,0.8046817380150714,0.732380335707526
